transducerFreq,transducer,TSgain,majorAxisAngleOffset,majorAxisBeamWidth,minorAxisAngleOffset,minorAxisBeamWidth
45,70,26.7094,0.014,10.324,0.066,9.92
46,70,27.4076,0.019,10.541,0.108,10.343
47,70,27.5953,0.021,10.496,0.115,10.365
48,70,27.3876,0.011,10.016,0.067,9.919
49,70,27.1129,0.005,9.68,0.012,9.594
50,70,26.9019,0,9.489,-0.022,9.394
51,70,26.8306,0,9.264,-0.034,9.126
52,70,26.8534,0.006,9.101,-0.039,8.889
53,70,26.8353,0.013,9.072,-0.042,8.8
54,70,26.8117,0.015,9.023,-0.041,8.738
55,70,26.8566,0.013,8.838,-0.041,8.582
56,70,26.9144,0.011,8.626,-0.047,8.387
57,70,26.929,0.012,8.48,-0.055,8.225
58,70,26.9575,0.015,8.344,-0.056,8.072
59,70,27.0583,0.015,8.174,-0.049,7.931
60,70,27.1505,0.012,8.029,-0.044,7.841
61,70,27.1707,0.008,7.899,-0.048,7.745
62,70,27.197,0.007,7.743,-0.052,7.598
63,70,27.2853,0.01,7.602,-0.052,7.453
64,70,27.3899,0.012,7.512,-0.046,7.352
65,70,27.4617,0.011,7.414,-0.04,7.254
66,70,27.5814,0.008,7.262,-0.039,7.118
67,70,27.7166,0.008,7.146,-0.04,7.01
68,70,27.757,0.01,7.07,-0.039,6.931
69,70,27.7242,0.013,6.98,-0.037,6.838
70,70,27.6708,0.014,6.861,-0.037,6.731
71,70,27.6109,0.015,6.756,-0.037,6.636
72,70,27.559,0.015,6.652,-0.037,6.53
73,70,27.5108,0.016,6.529,-0.036,6.41
74,70,27.4306,0.017,6.414,-0.036,6.307
75,70,27.3127,0.017,6.332,-0.035,6.234
76,70,27.2159,0.017,6.248,-0.036,6.147
77,70,27.1666,0.017,6.142,-0.037,6.04
78,70,27.1495,0.017,6.054,-0.039,5.953
79,70,27.1734,0.018,5.98,-0.04,5.877
80,70,27.2437,0.019,5.897,-0.041,5.788
81,70,27.3443,0.02,5.814,-0.04,5.705
82,70,27.4675,0.02,5.736,-0.038,5.636
83,70,27.643,0.018,5.629,-0.035,5.543
84,70,27.8559,0.015,5.487,-0.032,5.418
85,70,27.9879,0.012,5.362,-0.029,5.314
86,70,28.053,0.01,5.265,-0.023,5.237
87,70,28.2214,0.011,5.153,-0.014,5.134
93,120,27.503,-0.024,8.33,0.17,8.25
94,120,27.5398,-0.028,8.692,0.102,8.722
95,120,27.2135,-0.021,8.572,0.009,9.007
96,120,27.059,-0.041,8.482,-0.035,8.861
97,120,27.0766,-0.056,8.639,-0.034,8.783
98,120,26.9839,-0.046,8.709,-0.069,8.783
99,120,26.8689,-0.041,8.514,-0.107,8.654
