frequency,ecsFile,variable,value
45000,original,gain,26.7931
46000,original,gain,27.6845
47000,original,gain,28.0766
48000,original,gain,27.978
49000,original,gain,27.6961
50000,original,gain,27.3865
51000,original,gain,27.2057
52000,original,gain,27.1517
53000,original,gain,27.0876
54000,original,gain,27.0477
55000,original,gain,27.0914
56000,original,gain,27.1505
57000,original,gain,27.1735
58000,original,gain,27.2248
59000,original,gain,27.3589
60000,original,gain,27.4662
61000,original,gain,27.4778
62000,original,gain,27.5005
63000,original,gain,27.5914
64000,original,gain,27.6763
65000,original,gain,27.6807
66000,original,gain,27.7056
67000,original,gain,27.7632
68000,original,gain,27.7671
69000,original,gain,27.7465
70000,original,gain,27.7298
71000,original,gain,27.6996
72000,original,gain,27.6864
73000,original,gain,27.6987
74000,original,gain,27.6937
75000,original,gain,27.6484
76000,original,gain,27.6105
77000,original,gain,27.6066
78000,original,gain,27.607
79000,original,gain,27.6055
80000,original,gain,27.6095
81000,original,gain,27.6157
82000,original,gain,27.6323
83000,original,gain,27.6901
84000,original,gain,27.7931
85000,original,gain,27.8512
94000,original,gain,27.6621
95000,original,gain,27.3387
96000,original,gain,27.1006
97000,original,gain,27.1168
98000,original,gain,27.1174
99000,original,gain,26.9506
100000,original,gain,26.8528
101000,original,gain,26.9489
102000,original,gain,26.9339
103000,original,gain,26.7986
104000,original,gain,26.7644
105000,original,gain,26.8008
106000,original,gain,26.7328
107000,original,gain,26.6633
108000,original,gain,26.8014
109000,original,gain,26.8126
110000,original,gain,26.6472
111000,original,gain,26.7179
112000,original,gain,26.9098
113000,original,gain,26.7462
114000,original,gain,26.4177
118000,original,gain,26.972
119000,original,gain,26.8446
120000,original,gain,26.7839
121000,original,gain,26.9176
122000,original,gain,27.007
123000,original,gain,26.9177
124000,original,gain,26.8933
125000,original,gain,27.0524
126000,original,gain,27.0798
127000,original,gain,26.9307
128000,original,gain,26.9639
129000,original,gain,27.1381
130000,original,gain,27.0599
131000,original,gain,26.8926
138000,original,gain,27.0425
139000,original,gain,26.7712
140000,original,gain,26.4486
141000,original,gain,26.282
142000,original,gain,25.9904
143000,original,gain,26.0607
144000,original,gain,26.2541
145000,original,gain,26.3174
146000,original,gain,26.176
147000,original,gain,26.0321
148000,original,gain,26.0263
149000,original,gain,25.9957
150000,original,gain,25.9153
151000,original,gain,25.9435
152000,original,gain,25.9963
153000,original,gain,25.9761
154000,original,gain,26.0165
155000,original,gain,26.1401
156000,original,gain,26.2471
157000,original,gain,26.3712
158000,original,gain,26.5105
159000,original,gain,26.6447
160000,original,gain,26.8698
161000,original,gain,27.1662
162000,original,gain,27.2059
163000,original,gain,27.0951
167000,original,gain,27.4601
168000,original,gain,26.8574
169000,original,gain,26.3383
170000,original,gain,26.4111
176000,original,gain,26.311
177000,original,gain,26.5435
178000,original,gain,26.5306
179000,original,gain,26.396
180000,original,gain,26.3836
181000,original,gain,26.5782
182000,original,gain,26.6463
183000,original,gain,26.6356
184000,original,gain,26.7402
185000,original,gain,26.866
186000,original,gain,26.7119
187000,original,gain,26.2533
188000,original,gain,25.8777
189000,original,gain,26.0306
190000,original,gain,26.3281
191000,original,gain,26.4809
192000,original,gain,26.5636
193000,original,gain,26.7122
194000,original,gain,26.9135
195000,original,gain,27.1469
196000,original,gain,27.3783
197000,original,gain,27.5903
198000,original,gain,27.7797
199000,original,gain,27.8835
200000,original,gain,27.8401
201000,original,gain,27.7122
202000,original,gain,27.6649
203000,original,gain,27.7611
204000,original,gain,27.8809
205000,original,gain,27.9724
206000,original,gain,28.0859
212000,original,gain,27.9209
213000,original,gain,27.8239
214000,original,gain,27.9006
215000,original,gain,28.0222
216000,original,gain,27.9163
217000,original,gain,27.8282
218000,original,gain,27.9997
219000,original,gain,28.1415
220000,original,gain,28.1032
221000,original,gain,28.2193
222000,original,gain,28.4331
223000,original,gain,28.3156
224000,original,gain,28.0166
225000,original,gain,27.5961
226000,original,gain,27.8043
227000,original,gain,28.2979
228000,original,gain,28.3084
229000,original,gain,28.1726
230000,original,gain,28.1421
231000,original,gain,28.1917
232000,original,gain,28.2621
233000,original,gain,28.3029
234000,original,gain,28.2948
235000,original,gain,28.3023
236000,original,gain,28.309
237000,original,gain,28.2231
238000,original,gain,28.146
239000,original,gain,28.1997
240000,original,gain,28.1957
241000,original,gain,28.0783
247000,original,gain,26.5305
248000,original,gain,26.5913
249000,original,gain,26.5443
250000,original,gain,26.3728
251000,original,gain,26.019
252000,original,gain,25.6808
253000,original,gain,25.5486
254000,original,gain,25.4096
255000,original,gain,25.2326
256000,original,gain,25.0549
257000,original,gain,24.8548
258000,original,gain,24.5463
259000,original,gain,24.1909
260000,original,gain,24.0414
45000,original,minorAxisAngleOffset,0.0914
46000,original,minorAxisAngleOffset,0.0856
47000,original,minorAxisAngleOffset,0.0634
48000,original,minorAxisAngleOffset,0.0159
49000,original,minorAxisAngleOffset,-0.0162
50000,original,minorAxisAngleOffset,-0.0337
51000,original,minorAxisAngleOffset,-0.0536
52000,original,minorAxisAngleOffset,-0.0713
53000,original,minorAxisAngleOffset,-0.0792
54000,original,minorAxisAngleOffset,-0.0801
55000,original,minorAxisAngleOffset,-0.0778
56000,original,minorAxisAngleOffset,-0.0736
57000,original,minorAxisAngleOffset,-0.0707
58000,original,minorAxisAngleOffset,-0.0755
59000,original,minorAxisAngleOffset,-0.0861
60000,original,minorAxisAngleOffset,-0.0896
61000,original,minorAxisAngleOffset,-0.085
62000,original,minorAxisAngleOffset,-0.0803
63000,original,minorAxisAngleOffset,-0.078
64000,original,minorAxisAngleOffset,-0.0773
65000,original,minorAxisAngleOffset,-0.0803
66000,original,minorAxisAngleOffset,-0.0863
67000,original,minorAxisAngleOffset,-0.0892
68000,original,minorAxisAngleOffset,-0.0887
69000,original,minorAxisAngleOffset,-0.0903
70000,original,minorAxisAngleOffset,-0.0947
71000,original,minorAxisAngleOffset,-0.0939
72000,original,minorAxisAngleOffset,-0.0895
73000,original,minorAxisAngleOffset,-0.088
74000,original,minorAxisAngleOffset,-0.0895
75000,original,minorAxisAngleOffset,-0.0894
76000,original,minorAxisAngleOffset,-0.0881
77000,original,minorAxisAngleOffset,-0.0907
78000,original,minorAxisAngleOffset,-0.0936
79000,original,minorAxisAngleOffset,-0.0929
80000,original,minorAxisAngleOffset,-0.0907
81000,original,minorAxisAngleOffset,-0.0891
82000,original,minorAxisAngleOffset,-0.0872
83000,original,minorAxisAngleOffset,-0.0832
84000,original,minorAxisAngleOffset,-0.0793
85000,original,minorAxisAngleOffset,-0.0757
94000,original,minorAxisAngleOffset,0.0456
95000,original,minorAxisAngleOffset,0.0384
96000,original,minorAxisAngleOffset,0.0139
97000,original,minorAxisAngleOffset,-0.0178
98000,original,minorAxisAngleOffset,-0.0559
99000,original,minorAxisAngleOffset,-0.0937
100000,original,minorAxisAngleOffset,-0.0817
101000,original,minorAxisAngleOffset,-0.0561
102000,original,minorAxisAngleOffset,-0.0633
103000,original,minorAxisAngleOffset,-0.0875
104000,original,minorAxisAngleOffset,-0.0872
105000,original,minorAxisAngleOffset,-0.0803
106000,original,minorAxisAngleOffset,-0.1008
107000,original,minorAxisAngleOffset,-0.1264
108000,original,minorAxisAngleOffset,-0.1159
109000,original,minorAxisAngleOffset,-0.0994
110000,original,minorAxisAngleOffset,-0.1075
111000,original,minorAxisAngleOffset,-0.1084
112000,original,minorAxisAngleOffset,-0.0863
113000,original,minorAxisAngleOffset,-0.07
114000,original,minorAxisAngleOffset,-0.0666
118000,original,minorAxisAngleOffset,-0.0774
119000,original,minorAxisAngleOffset,-0.0684
120000,original,minorAxisAngleOffset,-0.0618
121000,original,minorAxisAngleOffset,-0.0688
122000,original,minorAxisAngleOffset,-0.0758
123000,original,minorAxisAngleOffset,-0.0764
124000,original,minorAxisAngleOffset,-0.0818
125000,original,minorAxisAngleOffset,-0.0892
126000,original,minorAxisAngleOffset,-0.0872
127000,original,minorAxisAngleOffset,-0.0833
128000,original,minorAxisAngleOffset,-0.0903
129000,original,minorAxisAngleOffset,-0.0991
130000,original,minorAxisAngleOffset,-0.0984
131000,original,minorAxisAngleOffset,-0.0974
138000,original,minorAxisAngleOffset,-0.1237
139000,original,minorAxisAngleOffset,-0.1275
140000,original,minorAxisAngleOffset,-0.1281
141000,original,minorAxisAngleOffset,-0.1262
142000,original,minorAxisAngleOffset,-0.1262
143000,original,minorAxisAngleOffset,-0.123
144000,original,minorAxisAngleOffset,-0.1167
145000,original,minorAxisAngleOffset,-0.1141
146000,original,minorAxisAngleOffset,-0.1133
147000,original,minorAxisAngleOffset,-0.1075
148000,original,minorAxisAngleOffset,-0.1024
149000,original,minorAxisAngleOffset,-0.1041
150000,original,minorAxisAngleOffset,-0.1061
151000,original,minorAxisAngleOffset,-0.1024
152000,original,minorAxisAngleOffset,-0.1008
153000,original,minorAxisAngleOffset,-0.1055
154000,original,minorAxisAngleOffset,-0.1082
155000,original,minorAxisAngleOffset,-0.1028
156000,original,minorAxisAngleOffset,-0.0966
157000,original,minorAxisAngleOffset,-0.0939
158000,original,minorAxisAngleOffset,-0.092
159000,original,minorAxisAngleOffset,-0.088
160000,original,minorAxisAngleOffset,-0.0836
161000,original,minorAxisAngleOffset,-0.0794
162000,original,minorAxisAngleOffset,-0.0752
163000,original,minorAxisAngleOffset,-0.0729
167000,original,minorAxisAngleOffset,-0.0788
168000,original,minorAxisAngleOffset,-0.086
169000,original,minorAxisAngleOffset,-0.0891
170000,original,minorAxisAngleOffset,-0.0905
176000,original,minorAxisAngleOffset,-0.2786
177000,original,minorAxisAngleOffset,-0.2856
178000,original,minorAxisAngleOffset,-0.3061
179000,original,minorAxisAngleOffset,-0.354
180000,original,minorAxisAngleOffset,-0.334
181000,original,minorAxisAngleOffset,-0.2574
182000,original,minorAxisAngleOffset,-0.2574
183000,original,minorAxisAngleOffset,-0.2897
184000,original,minorAxisAngleOffset,-0.2994
185000,original,minorAxisAngleOffset,-0.3004
186000,original,minorAxisAngleOffset,-0.3695
187000,original,minorAxisAngleOffset,-0.4988
188000,original,minorAxisAngleOffset,-0.5666
189000,original,minorAxisAngleOffset,-0.5045
190000,original,minorAxisAngleOffset,-0.4559
191000,original,minorAxisAngleOffset,-0.4693
192000,original,minorAxisAngleOffset,-0.4708
193000,original,minorAxisAngleOffset,-0.4169
194000,original,minorAxisAngleOffset,-0.3497
195000,original,minorAxisAngleOffset,-0.3019
196000,original,minorAxisAngleOffset,-0.258
197000,original,minorAxisAngleOffset,-0.2063
198000,original,minorAxisAngleOffset,-0.174
199000,original,minorAxisAngleOffset,-0.1813
200000,original,minorAxisAngleOffset,-0.1999
201000,original,minorAxisAngleOffset,-0.2001
202000,original,minorAxisAngleOffset,-0.1846
203000,original,minorAxisAngleOffset,-0.1751
204000,original,minorAxisAngleOffset,-0.1714
205000,original,minorAxisAngleOffset,-0.1684
206000,original,minorAxisAngleOffset,-0.1694
212000,original,minorAxisAngleOffset,-0.1996
213000,original,minorAxisAngleOffset,-0.1923
214000,original,minorAxisAngleOffset,-0.1906
215000,original,minorAxisAngleOffset,-0.1907
216000,original,minorAxisAngleOffset,-0.1872
